,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
1054,3444789.001,02/28/2020,02/28/2020,BVT15          ,B,R,S,G85  ,47.5,47 1/2,16,78.5,78 1/2,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,49.375,49 3/8,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,,,FALSO
997,3444117.001,02/28/2020,02/28/2020,BVT15          ,B,R,L,G85  ,119.75,119 3/4,39,75.875,75 7/8,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",120,120,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
1500,3451074.001,02/28/2020,02/28/2020,SSVT15LVR      ,B,,R,G98  ,,,23,75.75,75 3/4,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,,,,,,,FALSO
118,3408793.002,02/24/2020,02/28/2020,BVT15          ,B,L,L,G98  ,22.4375,22  7/16,8,68.25,68 1/4,68-3416-40     ,3.5X16 CR BRUSSELS MASONARY -2,23,23,68-3416-40     ,3.5X16 CR BRUSSELS MASONARY -2,,,FALSO
1715,3453927.002,02/28/2020,03/02/2020,SSVT15         ,B,R,S,G98  ,35.4375,35  7/16,12,87.75,87 3/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,36,36,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
207,3423892.001,02/26/2020,02/27/2020,BVT15          ,B,L,R,G85  ,41.75,41 3/4,14,63.5,63 1/2,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",42,42,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
788,3440987.002,02/27/2020,02/28/2020,SSVT15         ,B,L,L,G71  ,95.125,95 1/8,31,56.25,56 1/4,68-3397-40     ,3.5X16 QTM S-SHP SHIPWRECK 4,95.25,95 1/4,68-6875-40     ,3.5X16 EMB QUANTUM SHIPWRECK 4,,,FALSO
977,3443954.002,02/27/2020,02/27/2020,SSVT15         ,B,R,R,G71  ,93.625,93 5/8,30,77.125,77 1/8,68-3892-40     ,3.5X16 WNDW WEAV DEEP WALNT -2,93.75,93 3/4,68-3892-40     ,3.5X16 WNDW WEAV DEEP WALNT -2,,,FALSO
2857,3466712.01,03/02/2020,12/31/1899,BVT15          ,B,L,L,G85  ,69.75,69 3/4,23,98.5,98 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,70,70,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
1387,3449213.003,02/28/2020,03/02/2020,GVT15          ,B,L,L,G98  ,77.4375,77  7/16,25,84,84,68-6660-40     ,3.5X16 EMB CACHET SHIMMER SAG4,78,78,68-6660-40     ,3.5X16 EMB CACHET SHIMMER SAG4,,,FALSO
2183,3459103.001,03/02/2020,12/31/1899,BVT15          ,W,R,R,G98  ,34.3125,34  5/16,11,61.875,61 7/8,68-3418-40     ,3.5X16 CR BRUSSELS SPROUT -2,34.5,34 1/2,68-3418-40     ,3.5X16 CR BRUSSELS SPROUT -2,,,FALSO
2853,3466417.001,03/02/2020,12/31/1899,SSVT15         ,B,R,R,G98  ,76.6875,76 11/16,25,82.875,82 7/8,68-9587-40     ,3.5X16 CR LINEN GRANITE 4,77.25,77 1/4,68-9587-40     ,3.5X16 CR LINEN GRANITE 4,,,FALSO
1091,3445308.007,02/27/2020,02/27/2020,SSVT15         ,B,R,R,G98  ,34.0625,34  1/16,11,50.5,50 1/2,68-9303-40     ,3.5X16CR DPLX ALAB -2,34.625,34 5/8,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,FALSO
2003,3456925.001,03/02/2020,12/31/1899,BVT15          ,W,R,R,G85  ,74.75,74 3/4,24,62.5,62 1/2,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,75,75,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,FALSO
1372,3448830.006,02/28/2020,12/31/1899,BVT15          ,B,R,S,G98  ,69.9375,69 15/16,24,55.25,55 1/4,68-9307-40     ,3.5X16CR DPLX IVORY -3,70.5,70 1/2,68-9307-41     ,3.5X82.5CR DPLX IVORY -3,,,FALSO
2028,3457090.002,03/02/2020,12/31/1899,BVT15          ,B,L,L,G85  ,70.5,70 1/2,23,68,68,68-3792-40     ,"'3.5"" X 16'' TAPESTRY MISTY -2'",70.75,70 3/4,68-3792-40     ,"'3.5"" X 16'' TAPESTRY MISTY -2'",,,FALSO
289,3428786.001,02/26/2020,02/27/2020,BVT15          ,W,R,R,G85  ,70.5,70 1/2,23,93,93,68-6801-40     ,3.5X16 CR CHENILLE ALUMINUM -2,70.75,70 3/4,68-6801-40     ,3.5X16 CR CHENILLE ALUMINUM -2,,,FALSO
2308,3460463.002,03/02/2020,12/31/1899,BVT15          ,B,R,S,G85  ,49.75,49 3/4,16,64.5,64 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,50,50,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
2410,3461206.004,03/02/2020,12/31/1899,BVT15          ,W,R,R,G85  ,91.75,91 3/4,30,82.5,82 1/2,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,92,92,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
2620,3464029.001,03/02/2020,12/31/1899,BVT15          ,B,R,S,G98  ,41.6875,41 11/16,14,54.75,54 3/4,68-6698-40     ,"'3.5""X16''GRGTOWN-S CPTOL HILL-2'",42.25,42 1/4,68-6498-40     ,"'3.5""X16''CRWN GRGTOWN CAPTLHL-2'",,,FALSO
1153,3445885.002,02/28/2020,12/31/1899,BVT15          ,W,L,L,G85  ,50.75,50 3/4,17,37.5,37 1/2,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",51,51,68-6587-40     ,"'3.5"" X 16'' GROTTO ALAB -2'",,,FALSO
2358,3460854.001,03/02/2020,12/31/1899,BVT15LVR       ,,, ,G85  ,,,4,79.25,79 1/4,68-3973-40     ,3.5X16 FIBER WHITE -2,,,,,,,FALSO
673,3438714.001,02/27/2020,02/28/2020,BVT15          ,W,L,L,G85  ,79.75,79 3/4,26,77.5,77 1/2,68-3972-40     ,3.5X16 FIBER BUTTERCREAM -2,80,80,68-3972-40     ,3.5X16 FIBER BUTTERCREAM -2,,,FALSO
361,3431423.001,02/26/2020,02/27/2020,BVT15          ,B,R,R,G85  ,74.25,74 1/4,24,78.5,78 1/2,68-3614-40     ,3.5X16 RAPTURE STEEL -2,74.5,74 1/2,68-3614-40     ,3.5X16 RAPTURE STEEL -2,,,FALSO
368,3432002.005,02/26/2020,02/27/2020,BVT15          ,B,L,S,G98  ,96.4375,96  7/16,32,88.125,88 1/8,68-9307-40     ,3.5X16CR DPLX IVORY -3,97,97,68-9307-40     ,3.5X16CR DPLX IVORY -3,,,FALSO
2905,3467379.005,03/02/2020,12/31/1899,SSVT15         ,B,L,S,G85  ,93,93,30,21.25,21 1/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,93.25,93 1/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
1460,3450464.009,02/28/2020,12/31/1899,BVT15          ,W,R,R,G85  ,41.75,41 3/4,14,56.5,56 1/2,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,42,42,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
1767,3454284.001,02/28/2020,12/31/1899,BVT15          ,W,R,R,G85  ,73.75,73 3/4,24,81.5,81 1/2,68-6801-40     ,3.5X16 CR CHENILLE ALUMINUM -2,74,74,68-6801-40     ,3.5X16 CR CHENILLE ALUMINUM -2,,,FALSO
1976,3456519.001,03/02/2020,12/31/1899,BVT15          ,B,R,R,G85  ,82.75,82 3/4,27,81.5,81 1/2,68-3973-40     ,3.5X16 FIBER WHITE -2,83,83,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
1663,3453233.008,02/28/2020,12/31/1899,GVT15          ,W,R,R,G98  ,32.8125,32 13/16,11,60.5,60 1/2,68-9311-40     ,3.5X16CR DPLX MSTY WHT -3,33,33,68-9311-40     ,3.5X16CR DPLX MSTY WHT -3,,,FALSO
71,3308862.001,02/24/2020,02/28/2020,GVT15          ,B,L,L,G71  ,143.875,143 7/8,46,59.75,59 3/4,68-6267-40     ,3.5X16 LINEN S GRANITE 4,143.313,,68-9587-40     ,3.5X16 CR LINEN GRANITE 4,,,FALSO
1735,3454086.011,02/29/2020,12/31/1899,BVT15          ,B,L,L,G85  ,50.25,50 1/4,16,33.25,33 1/4,68-3418-40     ,3.5X16 CR BRUSSELS SPROUT -2,50.5,50 1/2,68-3418-40     ,3.5X16 CR BRUSSELS SPROUT -2,,,FALSO
2524,3463053.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,34.5,34 1/2,11,56,56,68-3973-40     ,3.5X16 FIBER WHITE -2,34.75,34 3/4,68-3973-40     ,3.5X16 FIBER WHITE -2,,,FALSO
2561,3463322.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,36.75,36 3/4,12,53.5,53 1/2,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",37,37,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
1112,3445396.001,02/28/2020,12/31/1899,BVT15          ,W,L,L,G85  ,101.75,101 3/4,33,65.5,65 1/2,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,102,102,68-3895-40     ,3.5X16 CR WNDW WEAVES HEATH -2,,,FALSO
403,3433159.001,02/26/2020,02/28/2020,GVT15          ,B,R,R,G98  ,57.1875,57  3/16,36,36.625,36 5/8,68-3736-40     ,2X16 CROWN WHITE -1,,,,,,,FALSO
2836,3466081.008,03/02/2020,12/31/1899,SSVT15         ,W,L,L,G98  ,98.8125,98 13/16,32,93.875,93 7/8,68-9303-40     ,3.5X16CR DPLX ALAB -2,99,99,68-9303-40     ,3.5X16CR DPLX ALAB -2,,,FALSO
2865,3466757.002,03/02/2020,12/31/1899,BVT15LVR       ,B,,R,G85  ,,,25,81.25,81 1/4,68-3412-40     ,3.5X16 BRUSSELS WHITE -1,,,,,,,FALSO
794,3441117.002,02/27/2020,03/02/2020,BVT15          ,W,L,L,G85  ,72.25,72 1/4,23,91.375,91 3/8,68-9306-40     ,3.5X16CR DPLX WHT -2,79,79,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
845,3441688.004,02/27/2020,03/02/2020,BVT15          ,B,L,L,G85  ,64.75,64 3/4,21,83.5,83 1/2,68-3330-40     ,3.5X16 LTHS S WHITE -2,65,65,68-3980-40     ,3.5X16 CRWN LTHS WHITE -2,,,FALSO
1020,3444503.005,02/27/2020,12/31/1899,GVT15          ,W,R,R,G98  ,52.3125,52  5/16,17,67,67,68-6260-40     ,3.5 X 16  LINEN S SNOW -2,52.5,52 1/2,68-9580-40     ,3.5 X 16 CR LINEN SNOW -2,,,FALSO
809,3441226.02,02/27/2020,02/27/2020,SSVT15         ,B,L,L,G71  ,77.75,77 3/4,25,81.25,81 1/4,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,77.875,77 7/8,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
277,3428701.002,02/26/2020,02/28/2020,BVT15          ,B,R,L,G85  ,94,94,30,56.75,56 3/4,68-3396-40     ,3.5X16 QTM S-SHP CHEVRE 2,94.25,94 1/4,68-6874-40     ,3.5X16 EMB QUANTUM CHEVRE 2,,,FALSO
169,3420131.004,02/26/2020,02/28/2020,BVT15          ,B,R,R,G98  ,69.0625,69  1/16,23,59.125,59 1/8,68-3391-40     ,3.5X16 QTM S-SHP CREAM -3,69.625,69 5/8,68-6879-40     ,3.5X16 EMB QTM CREAM -3,,,FALSO
1224,3446645.001,02/28/2020,12/31/1899,BVT15          ,W,L,L,G98  ,21.5625,21  9/16,7,66.25,66 1/4,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,21.75,21 3/4,68-9303-41     ,3.5X82.5CR DPLX ALAB -2,,,FALSO
1952,3456328.003,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,132.875,132 7/8,44,68.5,68 1/2,68-3252-40     ,"'3.5""X16'' CR KNSINGTON PSSPRT-3'",133,133,68-3252-40     ,"'3.5""X16'' CR KNSINGTON PSSPRT-3'",,,FALSO
2494,3462390.001,03/02/2020,12/31/1899,BVT15          ,W,R,R,G98  ,77.8125,77 13/16,26,80.5,80 1/2,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,78,78,68-3410-40     ,3.5X16 BRUSSELS TOTALLY TAN -1,,,FALSO
2411,3461237.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,77.75,77 3/4,25,83.25,83 1/4,68-6952-40     ,3.5X16 PARALLELS AMARETTO -2,78,78,68-6952-40     ,3.5X16 PARALLELS AMARETTO -2,,,FALSO
406,3433424.001,02/27/2020,02/28/2020,BVT15LVR       ,,,,G98  ,,,5,96,96,68-3091-40     ,3.5X16 CR FIBER ARMADA 4,,,,,,,FALSO
1321,3448070.003,02/28/2020,12/31/1899,BVT15          ,W,L,L,G85  ,45.875,45 7/8,15,65.5,65 1/2,68-6697-40     ,"'3.5""X16''GRGTOWN-S FLAX -3'",46.125,46 1/8,68-6497-40     ,"'3.5""X16''CRWN GRGTOWN FLAX -3'",,,FALSO
2906,3467379.006,03/02/2020,12/31/1899,SSVT15         ,B,L,L,G85  ,68.25,68 1/4,22,45,45,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,68.5,68 1/2,68-9312-40     ,3.5X16CR DPLX MSTY GRY -2,,,FALSO
909,3442828.001,02/27/2020,02/27/2020,SSVT15         ,B,R,R,G71  ,100.875,100 7/8,32,97.5,97 1/2,68-3647-40     ,3.5X16 SAFARI QUARRY 4,101,101,68-3647-40     ,3.5X16 SAFARI QUARRY 4,,,FALSO
2282,3460178.001,03/02/2020,12/31/1899,SSVT15         ,W,L,L,G98  ,76.3125,76  5/16,25,83.5,83 1/2,68-9306-40     ,3.5X16CR DPLX WHT -2,76.5,76 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
1303,3447924.001,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,116.875,116 7/8,38,54.75,54 3/4,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,117,117,68-3893-40     ,3.5X16 WNDW WEAV RICE PAPER -2,,,FALSO
2793,3465426.002,03/02/2020,12/31/1899,GVT15          ,B,R,S,G71  ,94.125,94 1/8,30,52.125,52 1/8,68-9306-40     ,3.5X16CR DPLX WHT -2,94.25,94 1/4,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1417,3449749.001,02/28/2020,02/28/2020,BVT15          ,W,L,L,G85  ,103.75,103 3/4,34,83.5,83 1/2,68-6693-40     ,"'3.5""X16''GRGTOWN-S TWNY -3'",104,104,68-6493-40     ,"'3.5""X16''CRWN GRGTOWN TWNY -3'",,,FALSO
3052,3470280.001,03/02/2020,12/31/1899,GVT15          ,W,R,R,G85  ,78.75,78 3/4,26,81,81,68-3890-40     ,3.5X16 WNDW WEAV MLTNG SNW -2,79,79,68-3890-40     ,3.5X16 WNDW WEAV MLTNG SNW -2,,,FALSO
